symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
AGCRP8,AGCR3,Agropyron cristatiforme Sarkar,,Poaceae,True,OR
AGCRP8,AGPE6,Agropyron pectinatum (M. Bieb.) P. Beauv.,,Poaceae,True,OR
AGCRP8,AGPE5,Agropyron pectiniforme Roem. & Schult.,,Poaceae,True,OR
AGCU,,Agastache cusickii (Greenm.) A. Heller,Cusick's giant hyssop,Lamiaceae,False,OR
AGCU,AGCUP,Agastache cusickii (Greenm.) A. Heller var. parva Cronquist,,Lamiaceae,True,OR
AGDA3,,Agoseris ×dasycarpa Greene (pro sp.) [glauca var. glauca × monticola],agoseris,Asteraceae,False,OR
AGDE2,,Agropyron desertorum (Fisch. ex Link) Schult.,desert wheatgrass,Poaceae,False,OR
AGDE2,AGCRD,Agropyron cristatum (L.) Gaertn. ssp. desertorum (Fisch. ex Link) Á. Löve,,Poaceae,True,OR
AGDE2,AGCRD2,Agropyron cristatum (L.) Gaertn. var. desertorum (Fisch. ex Link) Dorn,,Poaceae,True,OR
AGDE7,,Agrostis densiflora Vasey,California bentgrass,Poaceae,False,OR
AGDE7,AGCA3,Agrostis californica Trin.,,Poaceae,True,OR
AGDE7,AGGL3,Agrostis glomerata auct. non (J. Presl) Kunth,,Poaceae,True,OR
AGEL,,Agoseris elata (Nutt.) Greene,tall agoseris,Asteraceae,False,OR
AGEL,STEL4,Stylopappus elatus Nutt.,,Asteraceae,True,OR
AGERA2,,Ageratina Spach,snakeroot,Asteraceae,False,OR
AGEX,,Agrostis exarata Trin.,spike bentgrass,Poaceae,False,OR
AGEX,AGAE2,Agrostis aenea Trin.,,Poaceae,True,OR
AGEX,AGAL2,Agrostis alaskana Hultén,,Poaceae,True,OR
AGEX,AGAM2,Agrostis ampla Hitchc.,,Poaceae,True,OR
AGEX,AGAS4,Agrostis asperifolia Trin.,,Poaceae,True,OR
AGEX,AGEXM3,Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc.,,Poaceae,True,OR
AGEX,AGEXM,Agrostis exarata Trin. var. minor Hook.,,Poaceae,True,OR
